PID,Trial,ResponseTime,Function
190503_07174_2287515,1,10,3
190503_07174_2287515,2,32,3
190503_07174_2287515,3,10,2
190503_07174_2287515,4,44,3
190503_07174_2287515,5,18,3
190503_07174_2287515,6,43,1
190503_07174_2287515,7,8,1
190503_07174_2287515,8,22,2
190503_07174_2287515,9,25,1
190503_07174_2287515,10,30,2
190503_07174_2287515,11,19,3
190503_07174_2287515,12,31,3
190503_07174_2287515,13,25,1
190503_07174_2287515,14,8,3
190503_07174_2287515,15,26,3
190503_07174_2287515,16,23,2
190503_07174_2287515,17,19,2
190503_07174_2287515,18,23,3
190503_07174_2287515,19,31,1
190503_07174_2287515,20,27,1
190503_07174_2287515,21,29,1
190503_07174_2287515,22,21,2
190503_07174_2287515,23,22,2
190503_07174_2287515,24,23,2
190503_07174_2287515,25,28,3
190503_07174_2287515,26,21,3
190503_07174_2287515,27,21,2
190503_07174_2287515,28,44,2
190503_07174_2287515,29,14,3
190503_07174_2287515,30,42,2
190503_07174_2287515,31,24,3
190503_07174_2287515,32,25,1
190503_07174_2287515,33,23,1
190503_07174_2287515,34,20,3
190503_07174_2287515,35,9,2
190503_07174_2287515,36,27,1
190503_07174_2287515,37,26,1
190503_07174_2287515,38,25,2
190503_07174_2287515,39,12,2
190503_07174_2287515,40,27,3
190503_07174_2287515,41,28,1
190503_07174_2287515,42,24,1
190503_07174_2287515,43,9,2
190503_07174_2287515,44,36,1
190503_07174_2287515,45,20,1
