PID,Trial,ResponseTime,Function
191003_05272_0,1,8,3
191003_05272_0,2,26,3
191003_05272_0,3,8,2
191003_05272_0,4,25,3
191003_05272_0,5,41,1
191003_05272_0,6,8,2
191003_05272_0,7,29,2
191003_05272_0,8,23,1
191003_05272_0,9,28,3
191003_05272_0,10,15,1
191003_05272_0,11,20,1
191003_05272_0,12,19,3
191003_05272_0,13,30,1
191003_05272_0,14,26,3
191003_05272_0,15,25,1
191003_05272_0,16,20,1
191003_05272_0,17,33,2
191003_05272_0,18,21,2
191003_05272_0,19,50,1
191003_05272_0,20,27,3
191003_05272_0,21,33,2
191003_05272_0,22,42,2
191003_05272_0,23,25,1
191003_05272_0,24,33,2
191003_05272_0,25,34,2
191003_05272_0,26,27,3
191003_05272_0,27,26,2
191003_05272_0,28,32,2
191003_05272_0,29,24,1
191003_05272_0,30,19,1
191003_05272_0,31,39,3
191003_05272_0,32,41,1
191003_05272_0,33,25,1
191003_05272_0,34,36,3
191003_05272_0,35,24,3
191003_05272_0,36,24,3
191003_05272_0,37,28,2
191003_05272_0,38,8,3
191003_05272_0,39,35,1
191003_05272_0,40,42,1
191003_05272_0,41,33,2
191003_05272_0,42,30,2
191003_05272_0,43,32,3
191003_05272_0,44,8,2
191003_05272_0,45,20,3
