PID,Trial,ResponseTime,Function
190509_09393_0,1,23,3
190509_09393_0,2,21,3
190509_09393_0,3,37,2
190509_09393_0,4,20,3
190509_09393_0,5,18,3
190509_09393_0,6,8,1
190509_09393_0,7,21,1
190509_09393_0,8,30,2
190509_09393_0,9,24,1
190509_09393_0,10,18,2
190509_09393_0,11,24,3
190509_09393_0,12,22,3
190509_09393_0,13,9,1
190509_09393_0,14,24,3
190509_09393_0,15,25,3
190509_09393_0,16,34,2
190509_09393_0,17,23,2
190509_09393_0,18,8,3
190509_09393_0,19,21,1
190509_09393_0,20,18,1
190509_09393_0,21,20,1
190509_09393_0,22,24,2
190509_09393_0,23,26,2
190509_09393_0,24,25,2
190509_09393_0,25,16,3
190509_09393_0,26,18,3
190509_09393_0,27,19,2
190509_09393_0,28,26,2
190509_09393_0,29,20,3
190509_09393_0,30,8,2
190509_09393_0,31,21,3
190509_09393_0,32,19,1
190509_09393_0,33,22,1
190509_09393_0,34,26,3
190509_09393_0,35,33,2
190509_09393_0,36,19,1
190509_09393_0,37,33,1
190509_09393_0,38,19,2
190509_09393_0,39,26,2
190509_09393_0,40,19,3
190509_09393_0,41,27,1
190509_09393_0,42,20,1
190509_09393_0,43,24,2
190509_09393_0,44,23,1
190509_09393_0,45,23,1
