PID,Trial,ResponseTime,Function
190923_01967_0,1,50,3
190923_01967_0,2,40,3
190923_01967_0,3,33,2
190923_01967_0,4,20,3
190923_01967_0,5,35,3
190923_01967_0,6,20,1
190923_01967_0,7,28,1
190923_01967_0,8,9,2
190923_01967_0,9,20,1
190923_01967_0,10,24,2
190923_01967_0,11,19,3
190923_01967_0,12,22,3
190923_01967_0,13,27,1
190923_01967_0,14,16,3
190923_01967_0,15,17,3
190923_01967_0,16,37,2
190923_01967_0,17,24,2
190923_01967_0,18,8,3
190923_01967_0,19,30,1
190923_01967_0,20,27,1
190923_01967_0,21,21,1
190923_01967_0,22,24,2
190923_01967_0,23,37,2
190923_01967_0,24,14,2
190923_01967_0,25,26,3
190923_01967_0,26,22,3
190923_01967_0,27,36,2
190923_01967_0,28,27,2
190923_01967_0,29,20,3
190923_01967_0,30,25,2
190923_01967_0,31,19,3
190923_01967_0,32,34,1
190923_01967_0,33,34,1
190923_01967_0,34,27,3
190923_01967_0,35,14,2
190923_01967_0,36,27,1
190923_01967_0,37,20,1
190923_01967_0,38,35,2
190923_01967_0,39,31,2
190923_01967_0,40,10,3
190923_01967_0,41,39,1
190923_01967_0,42,30,1
190923_01967_0,43,30,2
190923_01967_0,44,29,1
190923_01967_0,45,31,1
