PID,Trial,ResponseTime,Function
191105_04637_0,1,29,3
191105_04637_0,2,28,3
191105_04637_0,3,50,2
191105_04637_0,4,25,3
191105_04637_0,5,9,1
191105_04637_0,6,27,2
191105_04637_0,7,25,2
191105_04637_0,8,8,1
191105_04637_0,9,8,3
191105_04637_0,10,19,1
191105_04637_0,11,32,1
191105_04637_0,12,25,3
191105_04637_0,13,34,1
191105_04637_0,14,26,3
191105_04637_0,15,21,1
191105_04637_0,16,46,1
191105_04637_0,17,26,2
191105_04637_0,18,28,2
191105_04637_0,19,33,1
191105_04637_0,20,27,3
191105_04637_0,21,31,2
191105_04637_0,22,26,2
191105_04637_0,23,28,1
191105_04637_0,24,30,2
191105_04637_0,25,29,2
191105_04637_0,26,9,3
191105_04637_0,27,24,2
191105_04637_0,28,26,2
191105_04637_0,29,29,1
191105_04637_0,30,27,1
191105_04637_0,31,25,3
191105_04637_0,32,34,1
191105_04637_0,33,9,1
191105_04637_0,34,9,3
191105_04637_0,35,25,3
191105_04637_0,36,24,3
191105_04637_0,37,50,2
191105_04637_0,38,8,3
191105_04637_0,39,22,1
191105_04637_0,40,8,1
191105_04637_0,41,40,2
191105_04637_0,42,36,2
191105_04637_0,43,19,3
191105_04637_0,44,26,2
191105_04637_0,45,20,3
