PID,Trial,ResponseTime,Function
191111_05275_0,1,21,3
191111_05275_0,2,19,1
191111_05275_0,3,15,3
191111_05275_0,4,34,1
191111_05275_0,5,12,2
191111_05275_0,6,16,1
191111_05275_0,7,33,2
191111_05275_0,8,28,3
191111_05275_0,9,30,2
191111_05275_0,10,23,3
191111_05275_0,11,21,2
191111_05275_0,12,25,2
191111_05275_0,13,28,3
191111_05275_0,14,42,1
191111_05275_0,15,24,1
191111_05275_0,16,21,3
191111_05275_0,17,19,3
191111_05275_0,18,30,1
191111_05275_0,19,30,2
191111_05275_0,20,21,2
191111_05275_0,21,24,2
191111_05275_0,22,22,2
191111_05275_0,23,22,2
191111_05275_0,24,26,1
191111_05275_0,25,18,1
191111_05275_0,26,24,3
191111_05275_0,27,24,1
191111_05275_0,28,26,2
191111_05275_0,29,22,1
191111_05275_0,30,17,1
191111_05275_0,31,22,3
191111_05275_0,32,14,3
191111_05275_0,33,14,3
191111_05275_0,34,18,3
191111_05275_0,35,21,3
191111_05275_0,36,18,1
191111_05275_0,37,18,1
191111_05275_0,38,21,2
191111_05275_0,39,26,3
191111_05275_0,40,19,1
191111_05275_0,41,17,3
191111_05275_0,42,8,2
191111_05275_0,43,33,2
191111_05275_0,44,26,2
191111_05275_0,45,28,1
