PID,Trial,ResponseTime,Function
191105_05638_0,1,44,2
191105_05638_0,2,19,1
191105_05638_0,3,23,1
191105_05638_0,4,27,3
191105_05638_0,5,42,3
191105_05638_0,6,18,2
191105_05638_0,7,10,3
191105_05638_0,8,40,2
191105_05638_0,9,29,1
191105_05638_0,10,22,1
191105_05638_0,11,26,2
191105_05638_0,12,22,3
191105_05638_0,13,30,2
191105_05638_0,14,21,1
191105_05638_0,15,18,1
191105_05638_0,16,37,2
191105_05638_0,17,20,2
191105_05638_0,18,30,1
191105_05638_0,19,29,2
191105_05638_0,20,39,2
191105_05638_0,21,32,2
191105_05638_0,22,23,3
191105_05638_0,23,20,1
191105_05638_0,24,42,1
191105_05638_0,25,18,3
191105_05638_0,26,23,1
191105_05638_0,27,26,3
191105_05638_0,28,35,3
191105_05638_0,29,17,1
191105_05638_0,30,22,1
191105_05638_0,31,29,1
191105_05638_0,32,25,1
191105_05638_0,33,14,1
191105_05638_0,34,34,2
191105_05638_0,35,19,3
191105_05638_0,36,22,2
191105_05638_0,37,15,3
191105_05638_0,38,22,2
191105_05638_0,39,24,2
191105_05638_0,40,40,3
191105_05638_0,41,28,3
191105_05638_0,42,18,3
191105_05638_0,43,24,2
191105_05638_0,44,36,3
191105_05638_0,45,32,3
