PID,Trial,ResponseTime,Function
191105_03624_0,1,17,3
191105_03624_0,2,37,1
191105_03624_0,3,36,3
191105_03624_0,4,39,1
191105_03624_0,5,33,2
191105_03624_0,6,24,1
191105_03624_0,7,48,2
191105_03624_0,8,24,3
191105_03624_0,9,48,2
191105_03624_0,10,23,3
191105_03624_0,11,36,2
191105_03624_0,12,23,2
191105_03624_0,13,24,3
191105_03624_0,14,30,1
191105_03624_0,15,34,1
191105_03624_0,16,27,3
191105_03624_0,17,35,3
191105_03624_0,18,28,1
191105_03624_0,19,27,2
191105_03624_0,20,32,2
191105_03624_0,21,29,2
191105_03624_0,22,33,2
191105_03624_0,23,28,2
191105_03624_0,24,46,1
191105_03624_0,25,46,1
191105_03624_0,26,50,3
191105_03624_0,27,27,1
191105_03624_0,28,23,2
191105_03624_0,29,27,1
191105_03624_0,30,25,1
191105_03624_0,31,26,3
191105_03624_0,32,15,3
191105_03624_0,33,20,3
191105_03624_0,34,36,3
191105_03624_0,35,40,3
191105_03624_0,36,21,1
191105_03624_0,37,22,1
191105_03624_0,38,24,2
191105_03624_0,39,28,3
191105_03624_0,40,26,1
191105_03624_0,41,16,3
191105_03624_0,42,24,2
191105_03624_0,43,25,2
191105_03624_0,44,24,2
191105_03624_0,45,16,1
