PID,Trial,ResponseTime,Function
191105_09161_0,1,9,2
191105_09161_0,2,40,1
191105_09161_0,3,30,3
191105_09161_0,4,28,3
191105_09161_0,5,33,3
191105_09161_0,6,12,3
191105_09161_0,7,21,1
191105_09161_0,8,19,3
191105_09161_0,9,30,2
191105_09161_0,10,32,2
191105_09161_0,11,25,1
191105_09161_0,12,35,2
191105_09161_0,13,25,1
191105_09161_0,14,27,2
191105_09161_0,15,25,1
191105_09161_0,16,26,2
191105_09161_0,17,23,1
191105_09161_0,18,27,1
191105_09161_0,19,33,2
191105_09161_0,20,24,3
191105_09161_0,21,9,3
191105_09161_0,22,18,2
191105_09161_0,23,44,2
191105_09161_0,24,28,2
191105_09161_0,25,17,3
191105_09161_0,26,25,1
191105_09161_0,27,23,3
191105_09161_0,28,16,3
191105_09161_0,29,44,1
191105_09161_0,30,35,2
191105_09161_0,31,40,1
191105_09161_0,32,20,3
191105_09161_0,33,19,1
191105_09161_0,34,25,1
191105_09161_0,35,19,3
191105_09161_0,36,25,2
191105_09161_0,37,29,3
191105_09161_0,38,20,3
191105_09161_0,39,32,2
191105_09161_0,40,21,2
191105_09161_0,41,24,1
191105_09161_0,42,24,1
191105_09161_0,43,28,1
191105_09161_0,44,29,3
191105_09161_0,45,9,2
