PID,Trial,ResponseTime,Function
190920_02669_0,1,8,3
190920_02669_0,2,21,3
190920_02669_0,3,43,2
190920_02669_0,4,19,3
190920_02669_0,5,42,3
190920_02669_0,6,50,1
190920_02669_0,7,45,1
190920_02669_0,8,24,2
190920_02669_0,9,8,1
190920_02669_0,10,20,2
190920_02669_0,11,29,3
190920_02669_0,12,21,3
190920_02669_0,13,22,1
190920_02669_0,14,19,3
190920_02669_0,15,12,3
190920_02669_0,16,21,2
190920_02669_0,17,14,2
190920_02669_0,18,8,3
190920_02669_0,19,25,1
190920_02669_0,20,18,1
190920_02669_0,21,36,1
190920_02669_0,22,35,2
190920_02669_0,23,20,2
190920_02669_0,24,31,2
190920_02669_0,25,23,3
190920_02669_0,26,21,3
190920_02669_0,27,28,2
190920_02669_0,28,23,2
190920_02669_0,29,27,3
190920_02669_0,30,19,2
190920_02669_0,31,19,3
190920_02669_0,32,23,1
190920_02669_0,33,33,1
190920_02669_0,34,31,3
190920_02669_0,35,34,2
190920_02669_0,36,29,1
190920_02669_0,37,32,1
190920_02669_0,38,21,2
190920_02669_0,39,33,2
190920_02669_0,40,24,3
190920_02669_0,41,41,1
190920_02669_0,42,27,1
190920_02669_0,43,33,2
190920_02669_0,44,36,1
190920_02669_0,45,25,1
