PID,Trial,ResponseTime,Function
190918_04053_2350811,1,30,2
190918_04053_2350811,2,18,1
190918_04053_2350811,3,23,1
190918_04053_2350811,4,22,3
190918_04053_2350811,5,39,3
190918_04053_2350811,6,26,2
190918_04053_2350811,7,25,3
190918_04053_2350811,8,38,2
190918_04053_2350811,9,35,1
190918_04053_2350811,10,29,1
190918_04053_2350811,11,29,2
190918_04053_2350811,12,27,3
190918_04053_2350811,13,35,2
190918_04053_2350811,14,25,1
190918_04053_2350811,15,31,1
190918_04053_2350811,16,20,2
190918_04053_2350811,17,25,2
190918_04053_2350811,18,29,1
190918_04053_2350811,19,26,2
190918_04053_2350811,20,28,2
190918_04053_2350811,21,19,2
190918_04053_2350811,22,25,3
190918_04053_2350811,23,22,1
190918_04053_2350811,24,28,1
190918_04053_2350811,25,20,3
190918_04053_2350811,26,31,1
190918_04053_2350811,27,11,3
190918_04053_2350811,28,13,3
190918_04053_2350811,29,22,1
190918_04053_2350811,30,18,1
190918_04053_2350811,31,36,1
190918_04053_2350811,32,23,1
190918_04053_2350811,33,25,1
190918_04053_2350811,34,23,2
190918_04053_2350811,35,23,3
190918_04053_2350811,36,36,2
190918_04053_2350811,37,24,3
190918_04053_2350811,38,22,2
190918_04053_2350811,39,27,2
190918_04053_2350811,40,20,3
190918_04053_2350811,41,22,3
190918_04053_2350811,42,20,3
190918_04053_2350811,43,29,2
190918_04053_2350811,44,18,3
190918_04053_2350811,45,48,3
