PID,Trial,ResponseTime,Function
190920_08119_0,1,31,3
190920_08119_0,2,33,1
190920_08119_0,3,9,3
190920_08119_0,4,29,1
190920_08119_0,5,8,2
190920_08119_0,6,38,1
190920_08119_0,7,24,2
190920_08119_0,8,21,3
190920_08119_0,9,30,2
190920_08119_0,10,20,3
190920_08119_0,11,28,2
190920_08119_0,12,30,2
190920_08119_0,13,50,3
190920_08119_0,14,45,1
190920_08119_0,15,23,1
190920_08119_0,16,18,3
190920_08119_0,17,22,3
190920_08119_0,18,17,1
190920_08119_0,19,14,2
190920_08119_0,20,30,2
190920_08119_0,21,25,2
190920_08119_0,22,28,2
190920_08119_0,23,20,2
190920_08119_0,24,13,1
190920_08119_0,25,17,1
190920_08119_0,26,23,3
190920_08119_0,27,38,1
190920_08119_0,28,23,2
190920_08119_0,29,21,1
190920_08119_0,30,22,1
190920_08119_0,31,18,3
190920_08119_0,32,18,3
190920_08119_0,33,23,3
190920_08119_0,34,21,3
190920_08119_0,35,19,3
190920_08119_0,36,18,1
190920_08119_0,37,10,1
190920_08119_0,38,33,2
190920_08119_0,39,22,3
190920_08119_0,40,22,1
190920_08119_0,41,28,3
190920_08119_0,42,26,2
190920_08119_0,43,27,2
190920_08119_0,44,24,2
190920_08119_0,45,19,1
