PID,Trial,ResponseTime,Function
191111_03970_0,1,18,3
191111_03970_0,2,34,3
191111_03970_0,3,30,2
191111_03970_0,4,21,3
191111_03970_0,5,25,3
191111_03970_0,6,34,1
191111_03970_0,7,18,1
191111_03970_0,8,33,2
191111_03970_0,9,38,1
191111_03970_0,10,30,2
191111_03970_0,11,41,3
191111_03970_0,12,24,3
191111_03970_0,13,26,1
191111_03970_0,14,28,3
191111_03970_0,15,23,3
191111_03970_0,16,41,2
191111_03970_0,17,29,2
191111_03970_0,18,33,3
191111_03970_0,19,41,1
191111_03970_0,20,18,1
191111_03970_0,21,34,1
191111_03970_0,22,49,2
191111_03970_0,23,28,2
191111_03970_0,24,24,2
191111_03970_0,25,32,3
191111_03970_0,26,31,3
191111_03970_0,27,36,2
191111_03970_0,28,35,2
191111_03970_0,29,39,3
191111_03970_0,30,25,2
191111_03970_0,31,28,3
191111_03970_0,32,22,1
191111_03970_0,33,29,1
191111_03970_0,34,50,3
191111_03970_0,35,50,2
191111_03970_0,36,32,1
191111_03970_0,37,43,1
191111_03970_0,38,36,2
191111_03970_0,39,21,2
191111_03970_0,40,25,3
191111_03970_0,41,50,1
191111_03970_0,42,37,1
191111_03970_0,43,44,2
191111_03970_0,44,26,1
191111_03970_0,45,48,1
