PID,Trial,ResponseTime,Function
190507_07447_0,1,14,2
190507_07447_0,2,34,1
190507_07447_0,3,9,3
190507_07447_0,4,31,3
190507_07447_0,5,22,3
190507_07447_0,6,34,3
190507_07447_0,7,24,1
190507_07447_0,8,8,3
190507_07447_0,9,20,2
190507_07447_0,10,28,2
190507_07447_0,11,9,1
190507_07447_0,12,31,2
190507_07447_0,13,23,1
190507_07447_0,14,11,2
190507_07447_0,15,29,1
190507_07447_0,16,35,2
190507_07447_0,17,44,1
190507_07447_0,18,23,1
190507_07447_0,19,20,2
190507_07447_0,20,16,3
190507_07447_0,21,17,3
190507_07447_0,22,14,2
190507_07447_0,23,47,2
190507_07447_0,24,33,2
190507_07447_0,25,15,3
190507_07447_0,26,25,1
190507_07447_0,27,38,3
190507_07447_0,28,15,3
190507_07447_0,29,23,1
190507_07447_0,30,8,2
190507_07447_0,31,19,1
190507_07447_0,32,24,3
190507_07447_0,33,22,1
190507_07447_0,34,21,1
190507_07447_0,35,8,3
190507_07447_0,36,33,2
190507_07447_0,37,17,3
190507_07447_0,38,17,3
190507_07447_0,39,35,2
190507_07447_0,40,25,2
190507_07447_0,41,24,1
190507_07447_0,42,24,1
190507_07447_0,43,23,1
190507_07447_0,44,20,3
190507_07447_0,45,9,2
