PID,Trial,ResponseTime,Function
190919_05426_0,1,22,3
190919_05426_0,2,19,3
190919_05426_0,3,50,2
190919_05426_0,4,25,3
190919_05426_0,5,28,1
190919_05426_0,6,19,2
190919_05426_0,7,48,2
190919_05426_0,8,22,1
190919_05426_0,9,22,3
190919_05426_0,10,24,1
190919_05426_0,11,33,1
190919_05426_0,12,14,3
190919_05426_0,13,38,1
190919_05426_0,14,33,3
190919_05426_0,15,42,1
190919_05426_0,16,39,1
190919_05426_0,17,34,2
190919_05426_0,18,24,2
190919_05426_0,19,25,1
190919_05426_0,20,11,3
190919_05426_0,21,21,2
190919_05426_0,22,18,2
190919_05426_0,23,23,1
190919_05426_0,24,16,2
190919_05426_0,25,50,2
190919_05426_0,26,19,3
190919_05426_0,27,27,2
190919_05426_0,28,31,2
190919_05426_0,29,30,1
190919_05426_0,30,25,1
190919_05426_0,31,15,3
190919_05426_0,32,22,1
190919_05426_0,33,26,1
190919_05426_0,34,24,3
190919_05426_0,35,17,3
190919_05426_0,36,19,3
190919_05426_0,37,25,2
190919_05426_0,38,20,3
190919_05426_0,39,23,1
190919_05426_0,40,20,1
190919_05426_0,41,25,2
190919_05426_0,42,11,2
190919_05426_0,43,23,3
190919_05426_0,44,27,2
190919_05426_0,45,17,3
