PID,Trial,ResponseTime,Function
191031_03190_0,1,19,3
191031_03190_0,2,8,3
191031_03190_0,3,28,2
191031_03190_0,4,23,3
191031_03190_0,5,26,3
191031_03190_0,6,13,1
191031_03190_0,7,26,1
191031_03190_0,8,35,2
191031_03190_0,9,37,1
191031_03190_0,10,30,2
191031_03190_0,11,18,3
191031_03190_0,12,18,3
191031_03190_0,13,34,1
191031_03190_0,14,21,3
191031_03190_0,15,24,3
191031_03190_0,16,25,2
191031_03190_0,17,30,2
191031_03190_0,18,14,3
191031_03190_0,19,22,1
191031_03190_0,20,28,1
191031_03190_0,21,21,1
191031_03190_0,22,17,2
191031_03190_0,23,49,2
191031_03190_0,24,41,2
191031_03190_0,25,30,3
191031_03190_0,26,21,3
191031_03190_0,27,19,2
191031_03190_0,28,21,2
191031_03190_0,29,20,3
191031_03190_0,30,16,2
191031_03190_0,31,16,3
191031_03190_0,32,15,1
191031_03190_0,33,16,1
191031_03190_0,34,18,3
191031_03190_0,35,24,2
191031_03190_0,36,14,1
191031_03190_0,37,11,1
191031_03190_0,38,47,2
191031_03190_0,39,24,2
191031_03190_0,40,26,3
191031_03190_0,41,16,1
191031_03190_0,42,27,1
191031_03190_0,43,28,2
191031_03190_0,44,14,1
191031_03190_0,45,21,1
