PID,Trial,ResponseTime,Function
191104_01889_0,1,14,2
191104_01889_0,2,23,1
191104_01889_0,3,38,3
191104_01889_0,4,26,3
191104_01889_0,5,49,3
191104_01889_0,6,10,3
191104_01889_0,7,8,1
191104_01889_0,8,26,3
191104_01889_0,9,10,2
191104_01889_0,10,16,2
191104_01889_0,11,18,1
191104_01889_0,12,50,2
191104_01889_0,13,31,1
191104_01889_0,14,24,2
191104_01889_0,15,44,1
191104_01889_0,16,8,2
191104_01889_0,17,35,1
191104_01889_0,18,27,1
191104_01889_0,19,24,2
191104_01889_0,20,8,3
191104_01889_0,21,34,3
191104_01889_0,22,18,2
191104_01889_0,23,22,2
191104_01889_0,24,50,2
191104_01889_0,25,30,3
191104_01889_0,26,17,1
191104_01889_0,27,32,3
191104_01889_0,28,26,3
191104_01889_0,29,29,1
191104_01889_0,30,20,2
191104_01889_0,31,33,1
191104_01889_0,32,38,3
191104_01889_0,33,8,1
191104_01889_0,34,23,1
191104_01889_0,35,24,3
191104_01889_0,36,46,2
191104_01889_0,37,20,3
191104_01889_0,38,36,3
191104_01889_0,39,27,2
191104_01889_0,40,36,2
191104_01889_0,41,38,1
191104_01889_0,42,35,1
191104_01889_0,43,22,1
191104_01889_0,44,8,3
191104_01889_0,45,34,2
