PID,Trial,ResponseTime,Function
191003_01208_0,1,17,3
191003_01208_0,2,23,3
191003_01208_0,3,35,2
191003_01208_0,4,16,3
191003_01208_0,5,13,3
191003_01208_0,6,41,1
191003_01208_0,7,26,1
191003_01208_0,8,50,2
191003_01208_0,9,28,1
191003_01208_0,10,27,2
191003_01208_0,11,39,3
191003_01208_0,12,41,3
191003_01208_0,13,24,1
191003_01208_0,14,28,3
191003_01208_0,15,26,3
191003_01208_0,16,8,2
191003_01208_0,17,23,2
191003_01208_0,18,8,3
191003_01208_0,19,28,1
191003_01208_0,20,26,1
191003_01208_0,21,22,1
191003_01208_0,22,32,2
191003_01208_0,23,8,2
191003_01208_0,24,41,2
191003_01208_0,25,19,3
191003_01208_0,26,24,3
191003_01208_0,27,32,2
191003_01208_0,28,37,2
191003_01208_0,29,19,3
191003_01208_0,30,14,2
191003_01208_0,31,17,3
191003_01208_0,32,30,1
191003_01208_0,33,38,1
191003_01208_0,34,23,3
191003_01208_0,35,26,2
191003_01208_0,36,25,1
191003_01208_0,37,27,1
191003_01208_0,38,37,2
191003_01208_0,39,48,2
191003_01208_0,40,27,3
191003_01208_0,41,28,1
191003_01208_0,42,23,1
191003_01208_0,43,28,2
191003_01208_0,44,28,1
191003_01208_0,45,32,1
