PID,Trial,ResponseTime,Function
191031_01632_0,1,22,3
191031_01632_0,2,27,3
191031_01632_0,3,22,2
191031_01632_0,4,17,3
191031_01632_0,5,22,1
191031_01632_0,6,29,2
191031_01632_0,7,8,2
191031_01632_0,8,8,1
191031_01632_0,9,8,3
191031_01632_0,10,24,1
191031_01632_0,11,18,1
191031_01632_0,12,13,3
191031_01632_0,13,33,1
191031_01632_0,14,30,3
191031_01632_0,15,18,1
191031_01632_0,16,23,1
191031_01632_0,17,8,2
191031_01632_0,18,27,2
191031_01632_0,19,22,1
191031_01632_0,20,14,3
191031_01632_0,21,26,2
191031_01632_0,22,21,2
191031_01632_0,23,21,1
191031_01632_0,24,21,2
191031_01632_0,25,22,2
191031_01632_0,26,21,3
191031_01632_0,27,20,2
191031_01632_0,28,23,2
191031_01632_0,29,18,1
191031_01632_0,30,18,1
191031_01632_0,31,23,3
191031_01632_0,32,24,1
191031_01632_0,33,21,1
191031_01632_0,34,8,3
191031_01632_0,35,13,3
191031_01632_0,36,13,3
191031_01632_0,37,8,2
191031_01632_0,38,8,3
191031_01632_0,39,17,1
191031_01632_0,40,21,1
191031_01632_0,41,23,2
191031_01632_0,42,28,2
191031_01632_0,43,19,3
191031_01632_0,44,19,2
191031_01632_0,45,19,3
