PID,Trial,ResponseTime,Function
191111_06816_0,1,27,3
191111_06816_0,2,18,3
191111_06816_0,3,49,2
191111_06816_0,4,18,3
191111_06816_0,5,47,1
191111_06816_0,6,28,2
191111_06816_0,7,32,2
191111_06816_0,8,20,1
191111_06816_0,9,11,3
191111_06816_0,10,8,1
191111_06816_0,11,21,1
191111_06816_0,12,20,3
191111_06816_0,13,21,1
191111_06816_0,14,8,3
191111_06816_0,15,23,1
191111_06816_0,16,33,1
191111_06816_0,17,25,2
191111_06816_0,18,30,2
191111_06816_0,19,18,1
191111_06816_0,20,19,3
191111_06816_0,21,23,2
191111_06816_0,22,34,2
191111_06816_0,23,18,1
191111_06816_0,24,24,2
191111_06816_0,25,8,2
191111_06816_0,26,37,3
191111_06816_0,27,25,2
191111_06816_0,28,22,2
191111_06816_0,29,21,1
191111_06816_0,30,19,1
191111_06816_0,31,14,3
191111_06816_0,32,19,1
191111_06816_0,33,19,1
191111_06816_0,34,18,3
191111_06816_0,35,50,3
191111_06816_0,36,24,3
191111_06816_0,37,37,2
191111_06816_0,38,17,3
191111_06816_0,39,14,1
191111_06816_0,40,30,1
191111_06816_0,41,22,2
191111_06816_0,42,41,2
191111_06816_0,43,17,3
191111_06816_0,44,20,2
191111_06816_0,45,28,3
