PID,Trial,ResponseTime,Function
190926_05953_0,1,40,2
190926_05953_0,2,23,1
190926_05953_0,3,37,3
190926_05953_0,4,22,3
190926_05953_0,5,31,3
190926_05953_0,6,17,3
190926_05953_0,7,17,1
190926_05953_0,8,22,3
190926_05953_0,9,23,2
190926_05953_0,10,24,2
190926_05953_0,11,17,1
190926_05953_0,12,42,2
190926_05953_0,13,24,1
190926_05953_0,14,25,2
190926_05953_0,15,41,1
190926_05953_0,16,16,2
190926_05953_0,17,24,1
190926_05953_0,18,17,1
190926_05953_0,19,24,2
190926_05953_0,20,20,3
190926_05953_0,21,20,3
190926_05953_0,22,16,2
190926_05953_0,23,15,2
190926_05953_0,24,34,2
190926_05953_0,25,27,3
190926_05953_0,26,38,1
190926_05953_0,27,14,3
190926_05953_0,28,31,3
190926_05953_0,29,22,1
190926_05953_0,30,23,2
190926_05953_0,31,15,1
190926_05953_0,32,28,3
190926_05953_0,33,35,1
190926_05953_0,34,25,1
190926_05953_0,35,22,3
190926_05953_0,36,28,2
190926_05953_0,37,20,3
190926_05953_0,38,10,3
190926_05953_0,39,28,2
190926_05953_0,40,24,2
190926_05953_0,41,12,1
190926_05953_0,42,22,1
190926_05953_0,43,18,1
190926_05953_0,44,33,3
190926_05953_0,45,17,2
