PID,Trial,ResponseTime,Function
190920_08418_0,1,16,3
190920_08418_0,2,14,3
190920_08418_0,3,38,2
190920_08418_0,4,18,3
190920_08418_0,5,24,1
190920_08418_0,6,26,2
190920_08418_0,7,26,2
190920_08418_0,8,22,1
190920_08418_0,9,17,3
190920_08418_0,10,23,1
190920_08418_0,11,17,1
190920_08418_0,12,22,3
190920_08418_0,13,20,1
190920_08418_0,14,13,3
190920_08418_0,15,22,1
190920_08418_0,16,9,1
190920_08418_0,17,8,2
190920_08418_0,18,21,2
190920_08418_0,19,24,1
190920_08418_0,20,19,3
190920_08418_0,21,29,2
190920_08418_0,22,17,2
190920_08418_0,23,23,1
190920_08418_0,24,26,2
190920_08418_0,25,38,2
190920_08418_0,26,14,3
190920_08418_0,27,26,2
190920_08418_0,28,15,2
190920_08418_0,29,12,1
190920_08418_0,30,24,1
190920_08418_0,31,19,3
190920_08418_0,32,26,1
190920_08418_0,33,29,1
190920_08418_0,34,21,3
190920_08418_0,35,13,3
190920_08418_0,36,9,3
190920_08418_0,37,12,2
190920_08418_0,38,19,3
190920_08418_0,39,20,1
190920_08418_0,40,21,1
190920_08418_0,41,20,2
190920_08418_0,42,18,2
190920_08418_0,43,13,3
190920_08418_0,44,13,2
190920_08418_0,45,11,3
