PID,Trial,ResponseTime,Function
190926_06797_0,1,17,3
190926_06797_0,2,22,3
190926_06797_0,3,24,2
190926_06797_0,4,23,3
190926_06797_0,5,13,3
190926_06797_0,6,23,1
190926_06797_0,7,17,1
190926_06797_0,8,21,2
190926_06797_0,9,23,1
190926_06797_0,10,23,2
190926_06797_0,11,20,3
190926_06797_0,12,23,3
190926_06797_0,13,22,1
190926_06797_0,14,22,3
190926_06797_0,15,18,3
190926_06797_0,16,21,2
190926_06797_0,17,18,2
190926_06797_0,18,8,3
190926_06797_0,19,21,1
190926_06797_0,20,16,1
190926_06797_0,21,20,1
190926_06797_0,22,19,2
190926_06797_0,23,10,2
190926_06797_0,24,37,2
190926_06797_0,25,22,3
190926_06797_0,26,29,3
190926_06797_0,27,22,2
190926_06797_0,28,21,2
190926_06797_0,29,11,3
190926_06797_0,30,8,2
190926_06797_0,31,24,3
190926_06797_0,32,20,1
190926_06797_0,33,13,1
190926_06797_0,34,23,3
190926_06797_0,35,24,2
190926_06797_0,36,21,1
190926_06797_0,37,31,1
190926_06797_0,38,21,2
190926_06797_0,39,31,2
190926_06797_0,40,25,3
190926_06797_0,41,22,1
190926_06797_0,42,21,1
190926_06797_0,43,16,2
190926_06797_0,44,29,1
190926_06797_0,45,23,1
