PID,Trial,ResponseTime,Function
191001_19101_2342287,1,49,2
191001_19101_2342287,2,10,1
191001_19101_2342287,3,25,2
191001_19101_2342287,4,22,2
191001_19101_2342287,5,20,3
191001_19101_2342287,6,31,2
191001_19101_2342287,7,28,1
191001_19101_2342287,8,34,3
191001_19101_2342287,9,21,3
191001_19101_2342287,10,23,2
191001_19101_2342287,11,30,1
191001_19101_2342287,12,8,1
191001_19101_2342287,13,8,3
191001_19101_2342287,14,37,2
191001_19101_2342287,15,40,3
191001_19101_2342287,16,28,1
191001_19101_2342287,17,8,3
191001_19101_2342287,18,27,1
191001_19101_2342287,19,24,1
191001_19101_2342287,20,32,3
191001_19101_2342287,21,8,3
191001_19101_2342287,22,25,2
191001_19101_2342287,23,23,2
191001_19101_2342287,24,8,1
191001_19101_2342287,25,32,1
191001_19101_2342287,26,32,2
191001_19101_2342287,27,28,3
191001_19101_2342287,28,26,1
191001_19101_2342287,29,48,3
191001_19101_2342287,30,19,1
191001_19101_2342287,31,22,1
191001_19101_2342287,32,24,1
191001_19101_2342287,33,23,2
191001_19101_2342287,34,50,2
191001_19101_2342287,35,25,1
191001_19101_2342287,36,34,3
191001_19101_2342287,37,26,3
191001_19101_2342287,38,24,2
191001_19101_2342287,39,38,3
191001_19101_2342287,40,8,3
191001_19101_2342287,41,13,3
191001_19101_2342287,42,24,2
191001_19101_2342287,43,46,1
191001_19101_2342287,44,25,2
191001_19101_2342287,45,49,2
