PID,Trial,ResponseTime,Function
190918_04465_2316299,1,41,2
190918_04465_2316299,2,36,1
190918_04465_2316299,3,20,3
190918_04465_2316299,4,29,3
190918_04465_2316299,5,26,3
190918_04465_2316299,6,25,3
190918_04465_2316299,7,32,1
190918_04465_2316299,8,23,3
190918_04465_2316299,9,18,2
190918_04465_2316299,10,27,2
190918_04465_2316299,11,20,1
190918_04465_2316299,12,27,2
190918_04465_2316299,13,21,1
190918_04465_2316299,14,24,2
190918_04465_2316299,15,24,1
190918_04465_2316299,16,30,2
190918_04465_2316299,17,22,1
190918_04465_2316299,18,24,1
190918_04465_2316299,19,19,2
190918_04465_2316299,20,20,3
190918_04465_2316299,21,20,3
190918_04465_2316299,22,8,2
190918_04465_2316299,23,19,2
190918_04465_2316299,24,26,2
190918_04465_2316299,25,27,3
190918_04465_2316299,26,20,1
190918_04465_2316299,27,25,3
190918_04465_2316299,28,19,3
190918_04465_2316299,29,34,1
190918_04465_2316299,30,22,2
190918_04465_2316299,31,23,1
190918_04465_2316299,32,22,3
190918_04465_2316299,33,19,1
190918_04465_2316299,34,17,1
190918_04465_2316299,35,23,3
190918_04465_2316299,36,28,2
190918_04465_2316299,37,23,3
190918_04465_2316299,38,25,3
190918_04465_2316299,39,42,2
190918_04465_2316299,40,44,2
190918_04465_2316299,41,18,1
190918_04465_2316299,42,17,1
190918_04465_2316299,43,24,1
190918_04465_2316299,44,13,3
190918_04465_2316299,45,30,2
