PID,Trial,ResponseTime,Function
190507_07982_0,1,14,2
190507_07982_0,2,46,2
190507_07982_0,3,50,1
190507_07982_0,4,31,2
190507_07982_0,5,34,1
190507_07982_0,6,27,3
190507_07982_0,7,28,3
190507_07982_0,8,27,2
190507_07982_0,9,26,3
190507_07982_0,10,22,1
190507_07982_0,11,30,3
190507_07982_0,12,31,2
190507_07982_0,13,12,2
190507_07982_0,14,17,3
190507_07982_0,15,22,2
190507_07982_0,16,47,2
190507_07982_0,17,32,1
190507_07982_0,18,45,3
190507_07982_0,19,38,2
190507_07982_0,20,23,3
190507_07982_0,21,34,2
190507_07982_0,22,28,1
190507_07982_0,23,31,3
190507_07982_0,24,35,2
190507_07982_0,25,24,1
190507_07982_0,26,11,1
190507_07982_0,27,42,2
190507_07982_0,28,19,3
190507_07982_0,29,17,3
190507_07982_0,30,47,1
190507_07982_0,31,24,1
190507_07982_0,32,21,3
190507_07982_0,33,26,1
190507_07982_0,34,16,3
190507_07982_0,35,30,2
190507_07982_0,36,22,2
190507_07982_0,37,29,1
190507_07982_0,38,28,1
190507_07982_0,39,21,3
190507_07982_0,40,31,1
190507_07982_0,41,17,1
190507_07982_0,42,17,2
190507_07982_0,43,23,1
190507_07982_0,44,28,3
190507_07982_0,45,32,3
