PID,Trial,ResponseTime,Function
191111_03305_0,1,10,2
191111_03305_0,2,50,1
191111_03305_0,3,32,3
191111_03305_0,4,28,3
191111_03305_0,5,20,3
191111_03305_0,6,17,3
191111_03305_0,7,21,1
191111_03305_0,8,18,3
191111_03305_0,9,29,2
191111_03305_0,10,26,2
191111_03305_0,11,13,1
191111_03305_0,12,22,2
191111_03305_0,13,23,1
191111_03305_0,14,36,2
191111_03305_0,15,19,1
191111_03305_0,16,8,2
191111_03305_0,17,22,1
191111_03305_0,18,8,1
191111_03305_0,19,26,2
191111_03305_0,20,17,3
191111_03305_0,21,24,3
191111_03305_0,22,31,2
191111_03305_0,23,31,2
191111_03305_0,24,34,2
191111_03305_0,25,17,3
191111_03305_0,26,25,1
191111_03305_0,27,21,3
191111_03305_0,28,21,3
191111_03305_0,29,24,1
191111_03305_0,30,8,2
191111_03305_0,31,16,1
191111_03305_0,32,18,3
191111_03305_0,33,21,1
191111_03305_0,34,24,1
191111_03305_0,35,15,3
191111_03305_0,36,28,2
191111_03305_0,37,20,3
191111_03305_0,38,19,3
191111_03305_0,39,35,2
191111_03305_0,40,22,2
191111_03305_0,41,29,1
191111_03305_0,42,18,1
191111_03305_0,43,19,1
191111_03305_0,44,19,3
191111_03305_0,45,8,2
