PID,Trial,ResponseTime,Function
190916_04465_2316038,1,11,3
190916_04465_2316038,2,29,3
190916_04465_2316038,3,50,2
190916_04465_2316038,4,20,3
190916_04465_2316038,5,23,1
190916_04465_2316038,6,47,2
190916_04465_2316038,7,8,2
190916_04465_2316038,8,8,1
190916_04465_2316038,9,10,3
190916_04465_2316038,10,28,1
190916_04465_2316038,11,22,1
190916_04465_2316038,12,27,3
190916_04465_2316038,13,23,1
190916_04465_2316038,14,40,3
190916_04465_2316038,15,19,1
190916_04465_2316038,16,19,1
190916_04465_2316038,17,8,2
190916_04465_2316038,18,41,2
190916_04465_2316038,19,23,1
190916_04465_2316038,20,16,3
190916_04465_2316038,21,29,2
190916_04465_2316038,22,22,2
190916_04465_2316038,23,37,1
190916_04465_2316038,24,23,2
190916_04465_2316038,25,29,2
190916_04465_2316038,26,18,3
190916_04465_2316038,27,19,2
190916_04465_2316038,28,35,2
190916_04465_2316038,29,20,1
190916_04465_2316038,30,17,1
190916_04465_2316038,31,24,3
190916_04465_2316038,32,43,1
190916_04465_2316038,33,47,1
190916_04465_2316038,34,8,3
190916_04465_2316038,35,20,3
190916_04465_2316038,36,45,3
190916_04465_2316038,37,19,2
190916_04465_2316038,38,8,3
190916_04465_2316038,39,24,1
190916_04465_2316038,40,24,1
190916_04465_2316038,41,33,2
190916_04465_2316038,42,27,2
190916_04465_2316038,43,16,3
190916_04465_2316038,44,23,2
190916_04465_2316038,45,35,3
