PID,Trial,ResponseTime,Function
190918_04053_2339263,1,40,2
190918_04053_2339263,2,50,2
190918_04053_2339263,3,20,1
190918_04053_2339263,4,19,2
190918_04053_2339263,5,8,1
190918_04053_2339263,6,28,3
190918_04053_2339263,7,25,3
190918_04053_2339263,8,22,2
190918_04053_2339263,9,8,3
190918_04053_2339263,10,21,1
190918_04053_2339263,11,39,3
190918_04053_2339263,12,21,2
190918_04053_2339263,13,31,2
190918_04053_2339263,14,30,3
190918_04053_2339263,15,25,2
190918_04053_2339263,16,8,2
190918_04053_2339263,17,24,1
190918_04053_2339263,18,21,3
190918_04053_2339263,19,50,2
190918_04053_2339263,20,24,3
190918_04053_2339263,21,28,2
190918_04053_2339263,22,19,1
190918_04053_2339263,23,31,3
190918_04053_2339263,24,32,2
190918_04053_2339263,25,31,1
190918_04053_2339263,26,34,1
190918_04053_2339263,27,38,2
190918_04053_2339263,28,9,3
190918_04053_2339263,29,19,3
190918_04053_2339263,30,24,1
190918_04053_2339263,31,16,1
190918_04053_2339263,32,24,3
190918_04053_2339263,33,27,1
190918_04053_2339263,34,19,3
190918_04053_2339263,35,29,2
190918_04053_2339263,36,44,2
190918_04053_2339263,37,21,1
190918_04053_2339263,38,24,1
190918_04053_2339263,39,26,3
190918_04053_2339263,40,28,1
190918_04053_2339263,41,18,1
190918_04053_2339263,42,13,2
190918_04053_2339263,43,22,1
190918_04053_2339263,44,8,3
190918_04053_2339263,45,9,3
