PID,Trial,ResponseTime,Function
190509_02904_0,1,25,3
190509_02904_0,2,41,3
190509_02904_0,3,50,2
190509_02904_0,4,27,3
190509_02904_0,5,34,1
190509_02904_0,6,49,2
190509_02904_0,7,28,2
190509_02904_0,8,45,1
190509_02904_0,9,36,3
190509_02904_0,10,39,1
190509_02904_0,11,29,1
190509_02904_0,12,24,3
190509_02904_0,13,22,1
190509_02904_0,14,35,3
190509_02904_0,15,32,1
190509_02904_0,16,11,1
190509_02904_0,17,39,2
190509_02904_0,18,37,2
190509_02904_0,19,8,1
190509_02904_0,20,27,3
190509_02904_0,21,32,2
190509_02904_0,22,16,2
190509_02904_0,23,31,1
190509_02904_0,24,26,2
190509_02904_0,25,21,2
190509_02904_0,26,11,3
190509_02904_0,27,24,2
190509_02904_0,28,30,2
190509_02904_0,29,24,1
190509_02904_0,30,32,1
190509_02904_0,31,23,3
190509_02904_0,32,18,1
190509_02904_0,33,28,1
190509_02904_0,34,21,3
190509_02904_0,35,14,3
190509_02904_0,36,27,3
190509_02904_0,37,9,2
190509_02904_0,38,25,3
190509_02904_0,39,19,1
190509_02904_0,40,8,1
190509_02904_0,41,34,2
190509_02904_0,42,29,2
190509_02904_0,43,17,3
190509_02904_0,44,39,2
190509_02904_0,45,19,3
