PID,Trial,ResponseTime,Function
190919_06377_0,1,45,3
190919_06377_0,2,18,3
190919_06377_0,3,32,2
190919_06377_0,4,12,3
190919_06377_0,5,11,3
190919_06377_0,6,27,1
190919_06377_0,7,26,1
190919_06377_0,8,20,2
190919_06377_0,9,14,1
190919_06377_0,10,47,2
190919_06377_0,11,15,3
190919_06377_0,12,33,3
190919_06377_0,13,34,1
190919_06377_0,14,16,3
190919_06377_0,15,30,3
190919_06377_0,16,23,2
190919_06377_0,17,13,2
190919_06377_0,18,29,3
190919_06377_0,19,23,1
190919_06377_0,20,27,1
190919_06377_0,21,29,1
190919_06377_0,22,50,2
190919_06377_0,23,22,2
190919_06377_0,24,11,2
190919_06377_0,25,18,3
190919_06377_0,26,27,3
190919_06377_0,27,30,2
190919_06377_0,28,36,2
190919_06377_0,29,24,3
190919_06377_0,30,28,2
190919_06377_0,31,28,3
190919_06377_0,32,8,1
190919_06377_0,33,14,1
190919_06377_0,34,18,3
190919_06377_0,35,36,2
190919_06377_0,36,43,1
190919_06377_0,37,23,1
190919_06377_0,38,48,2
190919_06377_0,39,27,2
190919_06377_0,40,11,3
190919_06377_0,41,21,1
190919_06377_0,42,24,1
190919_06377_0,43,40,2
190919_06377_0,44,38,1
190919_06377_0,45,36,1
