PID,Trial,ResponseTime,Function
190510_02127_0,1,17,3
190510_02127_0,2,40,3
190510_02127_0,3,24,2
190510_02127_0,4,30,3
190510_02127_0,5,23,3
190510_02127_0,6,28,1
190510_02127_0,7,22,1
190510_02127_0,8,33,2
190510_02127_0,9,8,1
190510_02127_0,10,22,2
190510_02127_0,11,49,3
190510_02127_0,12,19,3
190510_02127_0,13,26,1
190510_02127_0,14,8,3
190510_02127_0,15,8,3
190510_02127_0,16,27,2
190510_02127_0,17,22,2
190510_02127_0,18,50,3
190510_02127_0,19,42,1
190510_02127_0,20,26,1
190510_02127_0,21,26,1
190510_02127_0,22,25,2
190510_02127_0,23,10,2
190510_02127_0,24,42,2
190510_02127_0,25,27,3
190510_02127_0,26,50,3
190510_02127_0,27,20,2
190510_02127_0,28,23,2
190510_02127_0,29,26,3
190510_02127_0,30,8,2
190510_02127_0,31,22,3
190510_02127_0,32,27,1
190510_02127_0,33,19,1
190510_02127_0,34,50,3
190510_02127_0,35,35,2
190510_02127_0,36,35,1
190510_02127_0,37,18,1
190510_02127_0,38,10,2
190510_02127_0,39,11,2
190510_02127_0,40,33,3
190510_02127_0,41,11,1
190510_02127_0,42,23,1
190510_02127_0,43,38,2
190510_02127_0,44,50,1
190510_02127_0,45,35,1
