PID,Trial,ResponseTime,Function
191030_04920_0,1,50,3
191030_04920_0,2,12,3
191030_04920_0,3,44,2
191030_04920_0,4,50,3
191030_04920_0,5,49,1
191030_04920_0,6,31,2
191030_04920_0,7,34,2
191030_04920_0,8,47,1
191030_04920_0,9,40,3
191030_04920_0,10,50,1
191030_04920_0,11,29,1
191030_04920_0,12,33,3
191030_04920_0,13,41,1
191030_04920_0,14,10,3
191030_04920_0,15,40,1
191030_04920_0,16,9,1
191030_04920_0,17,8,2
191030_04920_0,18,48,2
191030_04920_0,19,31,1
191030_04920_0,20,43,3
191030_04920_0,21,34,2
191030_04920_0,22,41,2
191030_04920_0,23,22,1
191030_04920_0,24,8,2
191030_04920_0,25,8,2
191030_04920_0,26,26,3
191030_04920_0,27,32,2
191030_04920_0,28,37,2
191030_04920_0,29,40,1
191030_04920_0,30,49,1
191030_04920_0,31,33,3
191030_04920_0,32,44,1
191030_04920_0,33,37,1
191030_04920_0,34,22,3
191030_04920_0,35,8,3
191030_04920_0,36,50,3
191030_04920_0,37,36,2
191030_04920_0,38,22,3
191030_04920_0,39,8,1
191030_04920_0,40,30,1
191030_04920_0,41,27,2
191030_04920_0,42,32,2
191030_04920_0,43,33,3
191030_04920_0,44,24,2
191030_04920_0,45,29,3
