PID,Trial,ResponseTime,Function
190918_08802_2344501,1,34,3
190918_08802_2344501,2,30,1
190918_08802_2344501,3,8,3
190918_08802_2344501,4,26,1
190918_08802_2344501,5,22,2
190918_08802_2344501,6,26,1
190918_08802_2344501,7,42,2
190918_08802_2344501,8,17,3
190918_08802_2344501,9,27,2
190918_08802_2344501,10,8,3
190918_08802_2344501,11,8,2
190918_08802_2344501,12,21,2
190918_08802_2344501,13,21,3
190918_08802_2344501,14,30,1
190918_08802_2344501,15,31,1
190918_08802_2344501,16,26,3
190918_08802_2344501,17,23,3
190918_08802_2344501,18,42,1
190918_08802_2344501,19,21,2
190918_08802_2344501,20,22,2
190918_08802_2344501,21,21,2
190918_08802_2344501,22,32,2
190918_08802_2344501,23,8,2
190918_08802_2344501,24,20,1
190918_08802_2344501,25,29,1
190918_08802_2344501,26,21,3
190918_08802_2344501,27,22,1
190918_08802_2344501,28,27,2
190918_08802_2344501,29,37,1
190918_08802_2344501,30,27,1
190918_08802_2344501,31,8,3
190918_08802_2344501,32,8,3
190918_08802_2344501,33,18,3
190918_08802_2344501,34,19,3
190918_08802_2344501,35,14,3
190918_08802_2344501,36,28,1
190918_08802_2344501,37,25,1
190918_08802_2344501,38,23,2
190918_08802_2344501,39,35,3
190918_08802_2344501,40,21,1
190918_08802_2344501,41,18,3
190918_08802_2344501,42,20,2
190918_08802_2344501,43,29,2
190918_08802_2344501,44,42,2
190918_08802_2344501,45,34,1
