PID,Trial,ResponseTime,Function
191002_05744_0,1,16,3
191002_05744_0,2,22,3
191002_05744_0,3,10,2
191002_05744_0,4,35,3
191002_05744_0,5,47,3
191002_05744_0,6,8,1
191002_05744_0,7,19,1
191002_05744_0,8,50,2
191002_05744_0,9,19,1
191002_05744_0,10,42,2
191002_05744_0,11,20,3
191002_05744_0,12,35,3
191002_05744_0,13,15,1
191002_05744_0,14,18,3
191002_05744_0,15,11,3
191002_05744_0,16,8,2
191002_05744_0,17,50,2
191002_05744_0,18,30,3
191002_05744_0,19,47,1
191002_05744_0,20,34,1
191002_05744_0,21,32,1
191002_05744_0,22,48,2
191002_05744_0,23,47,2
191002_05744_0,24,15,2
191002_05744_0,25,9,3
191002_05744_0,26,39,3
191002_05744_0,27,47,2
191002_05744_0,28,39,2
191002_05744_0,29,43,3
191002_05744_0,30,8,2
191002_05744_0,31,10,3
191002_05744_0,32,50,1
191002_05744_0,33,24,1
191002_05744_0,34,41,3
191002_05744_0,35,34,2
191002_05744_0,36,10,1
191002_05744_0,37,14,1
191002_05744_0,38,50,2
191002_05744_0,39,45,2
191002_05744_0,40,21,3
191002_05744_0,41,48,1
191002_05744_0,42,49,1
191002_05744_0,43,30,2
191002_05744_0,44,18,1
191002_05744_0,45,38,1
