PID,Trial,ResponseTime,Function
191105_05103_0,1,36,2
191105_05103_0,2,41,1
191105_05103_0,3,26,1
191105_05103_0,4,26,3
191105_05103_0,5,43,3
191105_05103_0,6,8,2
191105_05103_0,7,8,3
191105_05103_0,8,49,2
191105_05103_0,9,20,1
191105_05103_0,10,21,1
191105_05103_0,11,39,2
191105_05103_0,12,4,3
191105_05103_0,13,26,2
191105_05103_0,14,14,1
191105_05103_0,15,8,1
191105_05103_0,16,24,2
191105_05103_0,17,29,2
191105_05103_0,18,17,1
191105_05103_0,19,31,2
191105_05103_0,20,28,2
191105_05103_0,21,17,2
191105_05103_0,22,31,3
191105_05103_0,23,50,1
191105_05103_0,24,9,1
191105_05103_0,25,40,3
191105_05103_0,26,16,1
191105_05103_0,27,19,3
191105_05103_0,28,27,3
191105_05103_0,29,50,1
191105_05103_0,30,29,1
191105_05103_0,31,18,1
191105_05103_0,32,14,1
191105_05103_0,33,27,1
191105_05103_0,34,31,2
191105_05103_0,35,24,3
191105_05103_0,36,17,2
191105_05103_0,37,9,3
191105_05103_0,38,28,2
191105_05103_0,39,23,2
191105_05103_0,40,44,3
191105_05103_0,41,22,3
191105_05103_0,42,43,3
191105_05103_0,43,31,2
191105_05103_0,44,34,3
191105_05103_0,45,18,3
