PID,Trial,ResponseTime,Function
190916_03398_2344946,1,8,3
190916_03398_2344946,2,25,3
190916_03398_2344946,3,20,2
190916_03398_2344946,4,31,3
190916_03398_2344946,5,29,3
190916_03398_2344946,6,29,1
190916_03398_2344946,7,22,1
190916_03398_2344946,8,28,2
190916_03398_2344946,9,30,1
190916_03398_2344946,10,25,2
190916_03398_2344946,11,24,3
190916_03398_2344946,12,25,3
190916_03398_2344946,13,31,1
190916_03398_2344946,14,23,3
190916_03398_2344946,15,31,3
190916_03398_2344946,16,23,2
190916_03398_2344946,17,23,2
190916_03398_2344946,18,25,3
190916_03398_2344946,19,25,1
190916_03398_2344946,20,27,1
190916_03398_2344946,21,19,1
190916_03398_2344946,22,30,2
190916_03398_2344946,23,22,2
190916_03398_2344946,24,21,2
190916_03398_2344946,25,21,3
190916_03398_2344946,26,26,3
190916_03398_2344946,27,23,2
190916_03398_2344946,28,23,2
190916_03398_2344946,29,18,3
190916_03398_2344946,30,21,2
190916_03398_2344946,31,15,3
190916_03398_2344946,32,26,1
190916_03398_2344946,33,21,1
190916_03398_2344946,34,14,3
190916_03398_2344946,35,44,2
190916_03398_2344946,36,24,1
190916_03398_2344946,37,22,1
190916_03398_2344946,38,22,2
190916_03398_2344946,39,28,2
190916_03398_2344946,40,16,3
190916_03398_2344946,41,25,1
190916_03398_2344946,42,23,1
190916_03398_2344946,43,23,2
190916_03398_2344946,44,24,1
190916_03398_2344946,45,21,1
